#{"t_start": 1758731258.612266, "env_id": "CartPole-v1"}
r,l,t
16.0,16,1.14236
15.0,15,1.150375
27.0,27,1.161575
22.0,22,1.171899
59.0,59,1.197531
40.0,40,1.215262
36.0,36,1.231827
14.0,14,1.237826
18.0,18,1.246873
28.0,28,1.258924
16.0,16,1.266946
47.0,47,1.28903
15.0,15,1.295507
17.0,17,1.303733
10.0,10,1.308866
15.0,15,1.316048
25.0,25,1.328048
19.0,19,1.337048
31.0,31,1.352042
15.0,15,1.359322
16.0,16,1.366394
18.0,18,1.374403
10.0,10,1.379726
14.0,14,1.385752
21.0,21,1.395791
28.0,28,1.409109
16.0,16,1.417107
19.0,19,1.426134
14.0,14,1.432131
19.0,19,1.441134
12.0,12,1.447134
10.0,10,1.45313
22.0,22,1.463421
9.0,9,1.467978
44.0,44,1.489648
11.0,11,1.494762
15.0,15,1.501787
28.0,28,1.515563
14.0,14,1.527514
31.0,31,1.576969
19.0,19,1.585969
11.0,11,1.591965
47.0,47,1.613969
16.0,16,1.621969
11.0,11,1.627966
30.0,30,1.642118
16.0,16,1.650368
11.0,11,1.655371
21.0,21,1.666885
35.0,35,1.682887
15.0,15,1.690882
26.0,26,1.702887
28.0,28,1.716887
16.0,16,1.723887
19.0,19,1.734061
17.0,17,1.742059
27.0,27,1.75506
22.0,22,1.76506
11.0,11,1.770061
15.0,15,1.77706
15.0,15,1.78406
60.0,60,1.81006
13.0,13,1.81606
40.0,40,1.83306
25.0,25,1.84406
23.0,23,1.85506
52.0,52,1.87706
19.0,19,1.88606
27.0,27,1.89806
13.0,13,1.904059
22.0,22,1.91306
21.0,21,1.92306
28.0,28,1.935061
42.0,42,1.95306
11.0,11,1.95806
17.0,17,1.966061
16.0,16,1.97306
27.0,27,1.98506
17.0,17,1.993061
24.0,24,2.00306
22.0,22,2.01306
12.0,12,2.01806
15.0,15,2.02506
24.0,24,2.03606
26.0,26,2.047061
25.0,25,2.058285
15.0,15,2.065303
15.0,15,2.071303
11.0,11,2.105423
59.0,59,2.132422
11.0,11,2.137423
11.0,11,2.142764
25.0,25,2.959578
28.0,28,2.971577
15.0,15,2.978578
37.0,37,2.995578
15.0,15,3.001578
28.0,28,3.017577
19.0,19,3.026577
34.0,34,3.04258
20.0,20,3.051577
49.0,49,3.078578
48.0,48,3.100578
64.0,64,3.129578
53.0,53,3.177855
85.0,85,3.215854
15.0,15,3.222855
30.0,30,3.235855
22.0,22,3.245855
84.0,84,3.282855
16.0,16,3.289855
19.0,19,3.297855
41.0,41,3.315854
43.0,43,3.334865
21.0,21,3.343864
16.0,16,3.350898
16.0,16,3.357897
14.0,14,3.363897
56.0,56,3.389417
